road_id,risk_score,predicted_disruption
way/564697255,5.21,0
way/565084766,5.21,0
way/565084773,5.21,0
way/565084777,5.21,0
way/565084785,29.84,0
way/565084787,5.21,0
way/565084789,5.21,0
way/565084791,5.21,0
way/565097090,5.21,0
way/565100016,75.58,1
way/565100030,34.61,0
way/565103162,18.18,0
way/565103163,16.25,0
way/565103164,26.59,0
way/565103165,16.25,0
way/565103166,5.21,0
way/565302567,8.78,0
way/565302568,5.21,0
way/565316308,5.21,0
way/565316325,5.21,0
way/565316331,5.21,0
way/565316338,5.21,0
way/565327369,5.21,0
way/565327381,5.21,0
way/565327383,5.21,0
way/565327389,29.86,0
way/565327404,5.21,0
way/565327408,5.21,0
way/565327422,5.21,0
way/565327432,5.21,0
way/565327437,23.81,0
way/565333175,5.21,0
way/565333180,5.21,0
way/565346085,6.1,0
way/565346089,5.21,0
way/565346101,5.21,0
way/565346108,21.88,0
way/565346110,21.88,0
way/565346112,6.1,0
way/565346114,5.21,0
way/565369280,49.25,1
way/566148617,42.68,1
way/572241504,16.34,0
way/572310492,5.21,0
way/572978613,84.0,1
way/573024145,84.0,1
way/578021228,28.65,0
way/585167216,41.01,1
way/587501118,38.02,1
way/588785832,41.37,1
way/588785838,18.18,0
way/588785839,18.18,0
way/588785840,6.92,0
way/588785841,6.92,0
way/588791117,20.58,0
way/605693427,20.24,0
way/605693428,20.24,0
way/605693429,22.64,0
way/605693430,20.24,0
way/605693431,22.64,0
way/605693432,20.24,0
way/605693435,20.24,0
way/605693437,20.24,0
way/609822894,52.06,1
way/609822895,20.24,0
way/611088801,32.0,0
way/611088802,27.92,0
way/611095480,41.37,1
way/611114955,20.24,0
way/611162343,43.3,1
way/611163467,41.86,1
way/611163468,43.3,1
way/611179245,41.86,1
way/611179259,32.5,0
way/611180505,33.68,0
way/611185314,32.01,0
way/611185348,34.84,0
way/611197746,6.92,0
way/611197747,6.92,0
way/611447670,5.21,0
way/611496536,5.21,0
way/611496537,5.21,0
way/611570677,20.58,0
way/611570678,20.58,0
way/611885489,41.94,1
way/611885490,30.92,0
way/614242511,5.21,0
way/614242512,20.58,0
way/614242513,20.58,0
way/615633237,5.21,0
way/615633238,6.92,0
way/615633239,6.92,0
way/615633240,5.21,0
way/615633241,5.21,0
way/636366607,24.57,0
way/637560677,5.21,0
way/637560678,29.0,0
way/637560679,24.31,0
way/637560680,5.21,0
way/637560682,5.21,0
way/637560683,5.21,0
way/651001376,27.57,0
way/651640563,5.21,0
way/651640654,5.21,0
way/651641217,21.88,0
way/651641218,5.21,0
way/651641220,5.21,0
way/651641782,22.64,0
way/657773831,5.21,0
way/657782632,5.21,0
way/657782633,10.43,0
way/657782634,8.03,0
way/659471832,6.92,0
way/659471833,8.03,0
way/659472079,22.64,0
way/659766551,5.21,0
way/659766552,5.21,0
way/662904833,21.88,0
way/662904834,21.88,0
way/662907280,5.21,0
way/662909140,47.94,1
way/662909141,61.42,1
way/662909143,63.27,1
way/662909144,47.94,1
way/662911956,22.5,0
way/669013685,5.21,0
way/677269522,5.21,0
way/677269523,5.21,0
way/677506833,24.57,0
way/677506835,25.17,0
way/677506836,41.37,1
way/677506837,26.36,0
way/677506844,24.31,0
way/677506845,51.25,1
way/677506884,31.89,0
way/677506885,29.84,0
way/711640766,5.21,0
way/711640767,21.88,0
way/713328876,52.44,1
way/713345325,5.21,0
way/713365239,5.21,0
way/713375123,22.64,0
way/713375124,5.21,0
way/713385005,27.9,0
way/713543964,47.94,1
way/713578264,22.64,0
way/713580778,68.22,1
way/713582019,24.57,0
way/713582020,24.57,0
